"","min_2","max_other","target_score","gene","rank"
"COL6A6",0,0,0,"COL6A6",388
"KCNAB1",0,0,0,"KCNAB1",389
"IQCJ",0,0,0,"IQCJ",390
"SLC2A2",0,0,0,"SLC2A2",391
"HTR3D",0,0,0,"HTR3D",392
"RTP2",0,0,0,"RTP2",393
"GAK",2.39,2.39,0,"GAK",394
"HGFAC",0,0,0,"HGFAC",395
"GPR78",0,0,0,"GPR78",396
"CPZ",0,0,0,"CPZ",397
"DRD5",0,0,0,"DRD5",398
"NKX3.2",0,0,0,"NKX3.2",399
"RFC1",3.25,3.25,0,"RFC1",400
"CHRNA9",0,0,0,"CHRNA9",401
"CORIN",0,0,0,"CORIN",402
"GSX2",0,0,0,"GSX2",403
"KIAA1211",0,0,0,"KIAA1211",404
"CCDC158",0,0,0,"CCDC158",405
"SOWAHB",0,0,0,"SOWAHB",406
"FGF5",0,0,0,"FGF5",407
"MEPE",0,0,0,"MEPE",408
"NEUROG2",0,0,0,"NEUROG2",409
"C4orf45",0,0,0,"C4orf45",410
"ZFP42",0,0,0,"ZFP42",411
"EXOC3",1.87,1.87,0,"EXOC3",412
"IRX1",0,0,0,"IRX1",413
"ADCY2",0,0,0,"ADCY2",414
"CTNND2",0,0,0,"CTNND2",415
"RANBP3L",0,0,0,"RANBP3L",416
"FGF10",0,0,0,"FGF10",417
"HSPB3",0,0,0,"HSPB3",418
"SLC27A6",0,0,0,"SLC27A6",419
"KIAA1024L",0,0,0,"KIAA1024L",420
"RP11.119J18.1",0,0,0,"RP11.119J18.1",421
"PCDHA3",0,0,0,"PCDHA3",422
"PCDHA5",0,0,0,"PCDHA5",423
"PCDHA7",0,0,0,"PCDHA7",424
"PCDHA13",0,0,0,"PCDHA13",425
"PCDHAC1",0,0,0,"PCDHAC1",426
"PCDHAC2",0,0,0,"PCDHAC2",427
"PCDHGA9",0,0,0,"PCDHGA9",428
"FAM71B",0.03,0.03,0,"FAM71B",429
"C5orf52",0,0,0,"C5orf52",430
"GABRA1",0,0,0,"GABRA1",431
"GABRG2",0,0,0,"GABRG2",432
"EFCAB9",0,0,0,"EFCAB9",433
"FAM153C",0,0,0,"FAM153C",434
"SCGN",0,0,0,"SCGN",435
"SLC17A2",0,0,0,"SLC17A2",436
"DPCR1",0,0,0,"DPCR1",437
"MCCD1",0,0,0,"MCCD1",438
"LY6G6C",0,0,0,"LY6G6C",439
"C6orf10",0,0,0,"C6orf10",440
"IP6K3",0,0,0,"IP6K3",441
"TULP1",0,0,0,"TULP1",442
"PNPLA1",0,0,0,"PNPLA1",443
"GLP1R",0,0,0,"GLP1R",444
"KCNK16",0,0,0,"KCNK16",445
"COL9A1",0,0,0,"COL9A1",446
"IMPG1",0,0,0,"IMPG1",447
"PRDM13",0,0,0,"PRDM13",448
"GRIK2",0,0,0,"GRIK2",449
"SLC35F1",0,0,0,"SLC35F1",450
"GS1.114I9.3",0,0,0,"GS1.114I9.3",451
"ADCYAP1R1",0,0,0,"ADCYAP1R1",452
"SEPT14",0,0,0,"SEPT14",453
"WBSCR17",0,0,0,"WBSCR17",454
"FZD9",0,0,0,"FZD9",455
"CCL24",0,0,0,"CCL24",456
"RSBN1L",4.12,4.12,0,"RSBN1L",457
"ERVW.1",0,0,0,"ERVW.1",458
"CYP3A7",0,0,0,"CYP3A7",459
"CYP3A4",0,0,0,"CYP3A4",460
"ASZ1",0,0,0,"ASZ1",461
"FAM71F1",0,0,0,"FAM71F1",462
"SMO",0,0,0,"SMO",463
"SSMEM1",0,0,0,"SSMEM1",464
"CPA1",0,0,0,"CPA1",465
"KLF14",0,0,0,"KLF14",466
"LRGUK",0,0,0,"LRGUK",467
"FAM180A",0,0,0,"FAM180A",468
"TAS2R3",0,0,0,"TAS2R3",469
"TRPV6",0,0,0,"TRPV6",470
"DPP6",0,0,0,"DPP6",471
"ARSF",0,0,0,"ARSF",472
"ACE2",0,0,0,"ACE2",473
"SMPX",0,0,0,"SMPX",474
"NR0B1",0,0,0,"NR0B1",475
"MAGED4",0,0,0,"MAGED4",476
"XAGE3",0,0,0,"XAGE3",477
"PFKFB1",0.03,0.03,0,"PFKFB1",478
"NONO",3.43,3.43,0,"NONO",479
"TCEAL5",0,0,0,"TCEAL5",480
"CAPN6",0,0,0,"CAPN6",481
"TRPC5OS",0,0,0,"TRPC5OS",482
"KIAA1210",0,0,0,"KIAA1210",483
"PRR32",0,0,0,"PRR32",484
"CT55",0,0,0,"CT55",485
"SOX3",0,0,0,"SOX3",486
"SPANXN3",0,0,0,"SPANXN3",487
"SLITRK2",0,0,0,"SLITRK2",488
"FMR1NB",0,0,0,"FMR1NB",489
"ATP2B3",0,0,0,"ATP2B3",490
"PRSS55",0,0,0,"PRSS55",491
"DEFB136",0,0,0,"DEFB136",492
"NAT2",0,0,0,"NAT2",493
"SLC18A1",0,0,0,"SLC18A1",494
"FGF17",0,0,0,"FGF17",495
"LGI3",0,0,0,"LGI3",496
"EBF2",0,0,0,"EBF2",497
"CHRNA2",0,0,0,"CHRNA2",498
"RAB11FIP1",3.6,3.6,0,"RAB11FIP1",499
"GOT1L1",0,0,0,"GOT1L1",500
"OPRK1",0,0,0,"OPRK1",501
"NKAIN3",0,0,0,"NKAIN3",502
"CRH",0,0,0,"CRH",503
"KCNB2",0,0,0,"KCNB2",504
"STMN2",0,0,0,"STMN2",505
"FABP12",0,0,0,"FABP12",506
"RALYL",0,0,0,"RALYL",507
"NECAB1",0,0,0,"NECAB1",508
"GDF6",0,0,0,"GDF6",509
"KCNS2",0,0,0,"KCNS2",510
"KCNV1",0,0,0,"KCNV1",511
"CSMD3",0,0,0,"CSMD3",512
"GPR20",0,0,0,"GPR20",513
"FOXD4",0,0,0,"FOXD4",514
"CER1",0,0,0,"CER1",515
"C9orf92",0,0,0,"C9orf92",516
"SH3GL2",0,0,0,"SH3GL2",517
"SLC24A2",0,0,0,"SLC24A2",518
"CNTFR",0,0,0,"CNTFR",519
"C9orf57",0,0,0,"C9orf57",520
"OMD",0,0,0,"OMD",521
"FBP2",0,0,0,"FBP2",522
"NCBP1",1.24,1.24,0,"NCBP1",523
"ALDOB",0,0,0,"ALDOB",524
