"","gene","score_avg","rank_avg"
"8208","KIF2A",-1.756,11466.6
"8209","KIF2B",-0.17,2238.33333333333
"8210","KIF2C",-1.285,9595.1
"8211","KIF3A",-1.061,6865.3
"8212","KIF3B",-0.822,7007.8
"8213","KIF3C",-0.895,7822.4
"8214","KIF4A",-0.881,7736.2
"8215","KIF4B",-0.167142857142857,2254.14285714286
"8216","KIF5A",-0.338571428571429,3941.57142857143
"8217","KIF5B",-0.456,3896.7
"8218","KIF5C",-1.258,10171.4
"8219","KIF6",-0.375,3759.25
"8220","KIF7",-0.308888888888889,3270.66666666667
"8221","KIF9",-1.173,9548.9
"8222","KIFAP3",-0.837,6445.6
"8223","KIFC1",-1.598,9518.5
"8224","KIFC2",-0.845,7318.5
"8225","KIFC3",-1.654,11964.4
"8226","KIN",-1.266,9481.2
"8227","KIR2DL1",-3.056,14113.3
"8228","KIR2DL3",-3.514,15171.5
"8229","KIR2DL4",-3.512,14708.8
"8230","KIR3DL1",-2.81555555555556,14060
"8231","KIR3DL2",-3.174,14515.2
"8232","KIR3DL3",-0.405,4670.5
"8233","KIR3DX1",-1.243,9840.2
"8234","KIRREL",-0.34375,3298.375
"8235","KIRREL2",-0.467142857142857,4996.28571428571
"8236","KIRREL3",-0.178333333333333,2493.16666666667
"8237","KISS1",-0.222,2768
"8238","KISS1R",-0.701111111111111,6544.88888888889
"8239","KIT",-5.703,15415.4
"8240","KITLG",-1.15,8728.77777777778
"8241","KIZ",-0.917142857142857,7408.28571428571
"8242","KL",-0.9225,7657.75
"8243","KLB",-0.68375,6540
"8244","KLC1",-0.793,7233
"8245","KLC2",-0.546,4815.3
"8246","KLC3",-0.423333333333333,3882.44444444444
"8247","KLC4",-1.219,9544.2
"8248","KLF1",-0.38,3999.14285714286
"8249","KLF10",-2.174,13241.4
"8250","KLF11",-1.322,10419.3
"8251","KLF12",-1.089,9425.4
"8252","KLF13",-1.627,10266.4
"8253","KLF14",-0.336666666666667,2983.16666666667
"8254","KLF15",-0.66375,4726
"8255","KLF16",-0.976,8333.8
"8256","KLF17",-0.226,2948.6
