"","min_2","max_other","target_score","gene","rank"
"PRR23A",0,0.01,-0.01,"PRR23A",281
"C3orf80",0,0.01,-0.01,"C3orf80",282
"RTP2",0,0.01,-0.01,"RTP2",283
"LRRC15",0,0.01,-0.01,"LRRC15",284
"GP5",0,0.01,-0.01,"GP5",285
"USP17L13",0,0.01,-0.01,"USP17L13",286
"KCTD8",0,0.01,-0.01,"KCTD8",287
"GABRA2",0,0.01,-0.01,"GABRA2",288
"MUC7",0,0.01,-0.01,"MUC7",289
"PDHA2",0,0.01,-0.01,"PDHA2",290
"ADH7",0,0.01,-0.01,"ADH7",291
"GYPB",0,0.01,-0.01,"GYPB",292
"RBM46",0,0.01,-0.01,"RBM46",293
"FSTL5",0,0.01,-0.01,"FSTL5",294
"LINC01207",0,0.01,-0.01,"LINC01207",295
"TRIM60",0,0.01,-0.01,"TRIM60",296
"SPATA4",0,0.01,-0.01,"SPATA4",297
"RP11.215A19.2",0,0.01,-0.01,"RP11.215A19.2",298
"FRG2",0,0.01,-0.01,"FRG2",299
"RP11.432M8.2",0,0.01,-0.01,"RP11.432M8.2",300
"RP11.432M8.5",0,0.01,-0.01,"RP11.432M8.5",301
"HCN1",0,0.01,-0.01,"HCN1",302
"ISL1",0,0.01,-0.01,"ISL1",303
"CDC20B",0,0.01,-0.01,"CDC20B",304
"ACTBL2",0,0.01,-0.01,"ACTBL2",305
"SERF1A",0,0.01,-0.01,"SERF1A",306
"TMEM174",0,0.01,-0.01,"TMEM174",307
"PRDM6",0,0.01,-0.01,"PRDM6",308
"AC009014.3",0,0.01,-0.01,"AC009014.3",309
"NME5",0,0.01,-0.01,"NME5",310
"PCDHB6",0,0.01,-0.01,"PCDHB6",311
"PCDHB7",0,0.01,-0.01,"PCDHB7",312
"PCDHB13",0,0.01,-0.01,"PCDHB13",313
"GRXCR2",0,0.01,-0.01,"GRXCR2",314
"HAND1",0,0.01,-0.01,"HAND1",315
"GABRA1",0,0.01,-0.01,"GABRA1",316
"EIF4E1B",0,0.01,-0.01,"EIF4E1B",317
"RASGEF1C",0,0.01,-0.01,"RASGEF1C",318
"OFCC1",0,0.01,-0.01,"OFCC1",319
"OR5V1",0,0.01,-0.01,"OR5V1",320
"OR12D3",0,0.01,-0.01,"OR12D3",321
"PSORS1C1",0,0.01,-0.01,"PSORS1C1",322
"OPN5",0.01,0.02,-0.01,"OPN5",323
"CLVS2",0,0.01,-0.01,"CLVS2",324
"TAAR6",0,0.01,-0.01,"TAAR6",325
"OLIG3",0,0.01,-0.01,"OLIG3",326
"VIP",0,0.01,-0.01,"VIP",327
"T",0,0.01,-0.01,"T",328
"POM121L12",0,0.01,-0.01,"POM121L12",329
"AC002429.5",0,0.01,-0.01,"AC002429.5",330
"TAC1",0,0.01,-0.01,"TAC1",331
"ACTL6B",0,0.01,-0.01,"ACTL6B",332
"PRRT4",0,0.01,-0.01,"PRRT4",333
"STRA8",0,0.01,-0.01,"STRA8",334
"C7orf33",0,0.01,-0.01,"C7orf33",335
"ASB10",0,0.01,-0.01,"ASB10",336
"EN2",0,0.01,-0.01,"EN2",337
"SHH",0,0.01,-0.01,"SHH",338
"NYX",0,0.01,-0.01,"NYX",339
"ERAS",0,0.01,-0.01,"ERAS",340
"NUDT10",0,0.01,-0.01,"NUDT10",341
"XAGE1B",0,0.01,-0.01,"XAGE1B",342
"PAGE3",0,0.01,-0.01,"PAGE3",343
"FAM155B",0,0.01,-0.01,"FAM155B",344
"AWAT2",0,0.01,-0.01,"AWAT2",345
"CXorf49",0,0.01,-0.01,"CXorf49",346
"FGF16",0,0.01,-0.01,"FGF16",347
"CPXCR1",0,0.01,-0.01,"CPXCR1",348
"PABPC5",0,0.01,-0.01,"PABPC5",349
"TCEAL6",0.01,0.02,-0.01,"TCEAL6",350
"NXF3",0,0.01,-0.01,"NXF3",351
"ESX1",0,0.01,-0.01,"ESX1",352
"NCBP2L",0,0.01,-0.01,"NCBP2L",353
"ATP1B4",0,0.01,-0.01,"ATP1B4",354
"ARHGAP36",0,0.01,-0.01,"ARHGAP36",355
"CT45A1",0,0.01,-0.01,"CT45A1",356
"SAGE1",0,0.01,-0.01,"SAGE1",357
