"","min_2","max_other","target_score","gene","rank"
"PCDHA12",0,0,0,"PCDHA12",265
"TRHDE",0,0,0,"TRHDE",266
"NRXN1",0,0,0,"NRXN1",267
"AGBL1",0,0,0,"AGBL1",268
"SPINK13",0,0,0,"SPINK13",269
"SYN2",0,0,0,"SYN2",270
"DACT2",0,0,0,"DACT2",271
"C3orf49",0,0,0,"C3orf49",272
"LCE1A",0,0,0,"LCE1A",273
"OR2V1",0,0,0,"OR2V1",274
"CT47B1",0,0,0,"CT47B1",275
"HOXC10",0,0,0,"HOXC10",276
"HBE1",0,0,0,"HBE1",277
"GPR6",0,0,0,"GPR6",278
"OR5D18",0,0,0,"OR5D18",279
"MAGEE2",0,0,0,"MAGEE2",280
"UNC5D",0,0,0,"UNC5D",281
"ASTN1",0,0,0,"ASTN1",282
"TCF23",0,0,0,"TCF23",283
"ABCC8",0,0,0,"ABCC8",284
"STMN2",0,0,0,"STMN2",285
"SOAT2",0,0,0,"SOAT2",286
"LCE1F",0,0,0,"LCE1F",287
"FAM43B",0,0,0,"FAM43B",288
"FOXQ1",0,0,0,"FOXQ1",289
"CALB1",0,0,0,"CALB1",290
"TBX5",0,0,0,"TBX5",291
"PPP3R2",0,0,0,"PPP3R2",292
"GLRA2",0,0,0,"GLRA2",293
"RASD2",0,0,0,"RASD2",294
"OR7D4",0,0,0,"OR7D4",295
"KRTAP3.2",0,0,0,"KRTAP3.2",296
"NNAT",0,0,0,"NNAT",297
"POU4F1",0,0,0,"POU4F1",298
"SLC6A18",0,0,0,"SLC6A18",299
"BHLHE22",0,0,0,"BHLHE22",300
"SIM1",0,0,0,"SIM1",301
"MPP2",0,0,0,"MPP2",302
"C5orf49",0,0,0,"C5orf49",303
"ZDHHC19",0,0,0,"ZDHHC19",304
"FAM69C",0,0,0,"FAM69C",305
"SMPX",0,0,0,"SMPX",306
"GPR149",0,0,0,"GPR149",307
"TPRX1",0,0,0,"TPRX1",308
"CPA1",0,0,0,"CPA1",309
"SPACA5",0,0,0,"SPACA5",310
"TTR",0,0,0,"TTR",311
"EAPP",4.52,4.52,0,"EAPP",312
"KIF6",0,0,0,"KIF6",313
"CT62",0,0,0,"CT62",314
"SLITRK5",0,0,0,"SLITRK5",315
"HOXC9",0,0,0,"HOXC9",316
"OXGR1",0,0,0,"OXGR1",317
"IRX2",0,0,0,"IRX2",318
"C6orf10",0,0,0,"C6orf10",319
"GABRR1",0,0,0,"GABRR1",320
"CBLN4",0,0,0,"CBLN4",321
"VSTM5",0,0,0,"VSTM5",322
"C1orf189",0,0,0,"C1orf189",323
"KLF15",0,0,0,"KLF15",324
"ARSE",0,0,0,"ARSE",325
"TMEM132B",0,0,0,"TMEM132B",326
"FTCD",0,0,0,"FTCD",327
"CDKN2A",2.23,2.23,0,"CDKN2A",328
"DLX1",0,0,0,"DLX1",329
"ATP6V1B1",0,0,0,"ATP6V1B1",330
"SRY",0,0,0,"SRY",331
"DCLK3",0,0,0,"DCLK3",332
"ENTPD3",0,0,0,"ENTPD3",333
"ZCCHC5",0,0,0,"ZCCHC5",334
"CLEC1B",0,0,0,"CLEC1B",335
"LRIT1",0,0,0,"LRIT1",336
"NKX6.1",0,0,0,"NKX6.1",337
"NKAIN3",0,0,0,"NKAIN3",338
"FGF6",0,0,0,"FGF6",339
"HES7",0,0,0,"HES7",340
"WNT3A",0,0,0,"WNT3A",341
"SOWAHB",0,0,0,"SOWAHB",342
"NHLH2",0,0,0,"NHLH2",343
"USP17L2",0,0,0,"USP17L2",344
"RIMBP2",0,0,0,"RIMBP2",345
"HAND2",0,0,0,"HAND2",346
"C20orf141",0,0,0,"C20orf141",347
"ACE2",0,0,0,"ACE2",348
"SEL1L2",0,0,0,"SEL1L2",349
"UBL4B",0,0,0,"UBL4B",350
"ADRA1D",0,0,0,"ADRA1D",351
"LMX1A",0,0,0,"LMX1A",352
"KCNIP1",0,0,0,"KCNIP1",353
