"","min_2","max_other","target_score","gene","rank"
"ASXL2",2.45,2.45,0,"ASXL2",248
"CDC42BPG",0,0,0,"CDC42BPG",249
"ENAH",0,0,0,"ENAH",250
"PRRG1",0,0,0,"PRRG1",251
"KIAA1456",0,0,0,"KIAA1456",252
"S100A3",0,0,0,"S100A3",253
"SPTAN1",3.1,3.1,0,"SPTAN1",254
"SEC14L6",0,0,0,"SEC14L6",255
"VDAC3",3.58,3.58,0,"VDAC3",256
"TLE6",0,0,0,"TLE6",257
"ELOVL7",0,0,0,"ELOVL7",258
"USP5",1.48,1.48,0,"USP5",259
"HIST1H2BL",0,0,0,"HIST1H2BL",260
"WASF1",0,0,0,"WASF1",261
"SPOCD1",0,0,0,"SPOCD1",262
"B4GALT6",0,0,0,"B4GALT6",263
"OTOF",0.01,0.01,0,"OTOF",264
"ESPL1",0.03,0.03,0,"ESPL1",265
"CDC25A",0.02,0.02,0,"CDC25A",266
"KHDRBS1",3.72,3.73,-0.00999999999999979,"KHDRBS1",267
"SREK1",3.41,3.42,-0.00999999999999979,"SREK1",268
"BRMS1",2.83,2.84,-0.00999999999999979,"BRMS1",269
"MFAP1",2.72,2.73,-0.00999999999999979,"MFAP1",270
"TRAPPC4",3.41,3.42,-0.00999999999999979,"TRAPPC4",271
"PSMC4",3.5,3.51,-0.00999999999999979,"PSMC4",272
"SRP14",6.67,6.68,-0.00999999999999979,"SRP14",273
"XPC",3.29,3.3,-0.00999999999999979,"XPC",274
"WDR61",2.77,2.78,-0.00999999999999979,"WDR61",275
"CCT6A",3.7,3.71,-0.00999999999999979,"CCT6A",276
"CD2",7.24,7.25,-0.00999999999999979,"CD2",277
"TRIM62",0.23,0.24,-0.00999999999999998,"TRIM62",278
"KIF20A",0.02,0.03,-0.01,"KIF20A",279
"MAMLD1",0,0.01,-0.01,"MAMLD1",280
"FPGT.TNNI3K",0,0.01,-0.01,"FPGT.TNNI3K",281
"PMF1.BGLAP",0,0.01,-0.01,"PMF1.BGLAP",282
"TVP23C.CDRT4",0,0.01,-0.01,"TVP23C.CDRT4",283
"PRG4",0,0.01,-0.01,"PRG4",284
"CYP46A1",0,0.01,-0.01,"CYP46A1",285
"TRIM31",0,0.01,-0.01,"TRIM31",286
"CYGB",0,0.01,-0.01,"CYGB",287
"AGAP1",0,0.01,-0.01,"AGAP1",288
"OSCP1",0,0.01,-0.01,"OSCP1",289
"TMEM125",0,0.01,-0.01,"TMEM125",290
"COL4A2",0,0.01,-0.01,"COL4A2",291
"CRABP2",0,0.01,-0.01,"CRABP2",292
"CTSV",0,0.01,-0.01,"CTSV",293
"AKR1C1",0,0.01,-0.01,"AKR1C1",294
"TMPRSS6",0,0.01,-0.01,"TMPRSS6",295
"SLC26A3",0,0.01,-0.01,"SLC26A3",296
"CADM4",0,0.01,-0.01,"CADM4",297
"GPC4",0,0.01,-0.01,"GPC4",298
"DTX4",0,0.01,-0.01,"DTX4",299
"NPTXR",0,0.01,-0.01,"NPTXR",300
"PCOLCE2",0,0.01,-0.01,"PCOLCE2",301
"PDLIM3",0,0.01,-0.01,"PDLIM3",302
