"","gene","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank_avg"
"132","AC007040.11",1649,NA,NA,NA,4194,NA,924,3758,NA,NA,2631.25
"133","AC009014.3",NA,NA,NA,NA,868,NA,2697,309,NA,NA,1291.33333333333
"134","AC009336.19",963,NA,NA,NA,NA,NA,NA,NA,NA,NA,963
"135","AC010547.9",NA,NA,NA,NA,4358,NA,3930,13300,NA,NA,7196
"136","AC010642.1",1956,NA,NA,NA,8589,NA,5117,11997,NA,NA,6914.75
"137","AC010646.3",NA,NA,NA,NA,NA,NA,NA,5420,NA,NA,5420
"138","AC010731.4",NA,NA,NA,NA,NA,NA,NA,273,NA,NA,273
"139","AC011513.3",NA,NA,NA,NA,NA,NA,NA,3608,NA,NA,3608
"140","AC011530.4",NA,NA,NA,NA,748,NA,NA,11749,NA,NA,6248.5
"141","AC013269.5",NA,NA,NA,NA,NA,NA,NA,543,NA,NA,543
"142","AC015688.3",NA,NA,NA,NA,12643,NA,NA,11294,NA,NA,11968.5
"143","AC024592.12",4381,NA,NA,NA,NA,NA,1054,6046,NA,NA,3827
"144","AC025263.3",NA,NA,NA,NA,6899,14794,NA,7985,NA,NA,9892.66666666667
"145","AC025335.1",10924,NA,11140,NA,12571,NA,2814,11042,NA,NA,9698.2
"146","AC037459.4",NA,NA,NA,NA,5950,1217,NA,9399,NA,NA,5522
"147","AC068533.7",NA,NA,NA,NA,13297,NA,1464,6736,NA,NA,7165.66666666667
"148","AC069368.3",1601,NA,NA,NA,NA,NA,815,4458,NA,NA,2291.33333333333
"149","AC073610.5",NA,NA,NA,NA,15499,NA,NA,NA,NA,NA,15499
"150","AC084219.2",NA,NA,NA,NA,NA,NA,NA,6265,NA,NA,6265
"151","AC092835.2",4457,NA,NA,NA,6401,NA,2566,8535,NA,NA,5489.75
"152","AC104532.2",1617,NA,NA,NA,NA,5770,NA,14585,NA,NA,7324
"153","AC104534.3",NA,NA,NA,NA,7536,NA,NA,12212,NA,NA,9874
"154","AC108938.5",1383,NA,NA,NA,NA,NA,NA,12725,NA,NA,7054
"155","AC114783.1",NA,NA,NA,NA,564,NA,NA,1205,NA,NA,884.5
"156","AC131097.4",381,NA,NA,NA,NA,378,1099,728,NA,NA,646.5
