"","min_2","max_other","target_score","gene","rank"
"PDZD3",0,0,0,"PDZD3",392
"POU2F3",0,0,0,"POU2F3",393
"OR8G5",0,0,0,"OR8G5",394
"ADAMTS8",0,0,0,"ADAMTS8",395
"ADAMTS15",0,0,0,"ADAMTS15",396
"C10orf113",0,0,0,"C10orf113",397
"PTCHD3",0,0,0,"PTCHD3",398
"PARG",1.59,1.59,0,"PARG",399
"CHST3",0.07,0.07,0,"CHST3",400
"IFIT1B",0,0,0,"IFIT1B",401
"TAS2R42",0,0,0,"TAS2R42",402
"FAM186B",0,0,0,"FAM186B",403
"ASIC1",0,0,0,"ASIC1",404
"ANKRD33",0,0,0,"ANKRD33",405
"KRT84",0,0,0,"KRT84",406
"MIP",0.02,0.02,0,"MIP",407
"LGR5",0,0,0,"LGR5",408
"GLIPR1L1",0.05,0.05,0,"GLIPR1L1",409
"POC1B.GALNT4",0.04,0.04,0,"POC1B.GALNT4",410
"SLC17A8",0,0,0,"SLC17A8",411
"PSMD9",3.39,3.39,0,"PSMD9",412
"HCAR1",0,0,0,"HCAR1",413
"GALNT9",0,0,0,"GALNT9",414
"CCDC169",0,0,0,"CCDC169",415
"SPERT",0,0,0,"SPERT",416
"TPPP2",0,0,0,"TPPP2",417
"IRF9",2.89,2.89,0,"IRF9",418
"PRKCH",4.37,4.37,0,"PRKCH",419
"NOXRED1",0,0,0,"NOXRED1",420
"ISM2",0,0,0,"ISM2",421
"NUTM1",0,0,0,"NUTM1",422
"DNAJC17",1.83,1.83,0,"DNAJC17",423
"GCOM1",0,0,0,"GCOM1",424
"PRR35",0,0,0,"PRR35",425
"C16orf96",0,0,0,"C16orf96",426
"C16orf89",0,0,0,"C16orf89",427
"RP11.1035H13.3",0,0,0,"RP11.1035H13.3",428
"CLEC19A",0,0,0,"CLEC19A",429
"DNAH3",0,0,0,"DNAH3",430
"AC002310.13",0,0,0,"AC002310.13",431
"NUDT21",3.24,3.24,0,"NUDT21",432
"MT1B",0,0,0,"MT1B",433
"MYOCD",0,0,0,"MYOCD",434
"CCL11",0,0,0,"CCL11",435
"SLFN14",0,0,0,"SLFN14",436
"AATF",3.09,3.09,0,"AATF",437
"GJD3",0,0,0,"GJD3",438
"TBX4",0,0,0,"TBX4",439
"LAMA1",0,0,0,"LAMA1",440
"CFAP61",0,0,0,"CFAP61",441
"WISP2",0,0,0,"WISP2",442
"TUBB1",0,0,0,"TUBB1",443
"DIDO1",2.44,2.44,0,"DIDO1",444
"KCNQ2",0,0,0,"KCNQ2",445
"CTD.2207O23.10",0,0,0,"CTD.2207O23.10",446
"CTD.3214H19.4",0,0,0,"CTD.3214H19.4",447
"MEF2B",0,0,0,"MEF2B",448
"ZNF99",0,0,0,"ZNF99",449
"WDR88",0,0,0,"WDR88",450
"CTB.102L5.4",0,0,0,"CTB.102L5.4",451
"CEACAM8",0,0,0,"CEACAM8",452
"FAM83E",0,0,0,"FAM83E",453
"XKR3",0,0,0,"XKR3",454
"TXNRD2",1.41,1.41,0,"TXNRD2",455
"RANBP1",4.38,4.38,0,"RANBP1",456
"LRRC74B",0,0,0,"LRRC74B",457
"RP5.1042K10.14",0,0,0,"RP5.1042K10.14",458
"XRCC6",4.43,4.43,0,"XRCC6",459
"GART",2.1,2.1,0,"GART",460
"ARHGAP30",4.59,4.6,-0.00999999999999979,"ARHGAP30",461
"GEM",2.6,2.61,-0.00999999999999979,"GEM",462
"DCUN1D5",2.39,2.4,-0.00999999999999979,"DCUN1D5",463
"CISD1",2.56,2.57,-0.00999999999999979,"CISD1",464
"PPP3CB",1.87,1.88,-0.00999999999999979,"PPP3CB",465
"ATAD1",2.74,2.75,-0.00999999999999979,"ATAD1",466
"SARNP",2.39,2.4,-0.00999999999999979,"SARNP",467
"MAPK1IP1L",3.68,3.69,-0.00999999999999979,"MAPK1IP1L",468
"PIN1",3.85,3.86,-0.00999999999999979,"PIN1",469
"AIPL1",0.02,0.03,-0.01,"AIPL1",470
"ZACN",0.02,0.03,-0.01,"ZACN",471
"NPPB",0,0.01,-0.01,"NPPB",472
"OPRD1",0,0.01,-0.01,"OPRD1",473
"AGBL4",0,0.01,-0.01,"AGBL4",474
"VTCN1",0,0.01,-0.01,"VTCN1",475
"ANKRD45",0,0.01,-0.01,"ANKRD45",476
"C1orf116",0,0.01,-0.01,"C1orf116",477
"KCNF1",0,0.01,-0.01,"KCNF1",478
"CIB4",0,0.01,-0.01,"CIB4",479
"REEP1",0,0.01,-0.01,"REEP1",480
"SLC9A4",0,0.01,-0.01,"SLC9A4",481
"RGPD4",0,0.01,-0.01,"RGPD4",482
"HOXD4",0,0.01,-0.01,"HOXD4",483
"HOXD1",0,0.01,-0.01,"HOXD1",484
"C2orf66",0,0.01,-0.01,"C2orf66",485
"ACADL",0,0.01,-0.01,"ACADL",486
"KIF1A",0,0.01,-0.01,"KIF1A",487
"MOBP",0,0.01,-0.01,"MOBP",488
"STX19",0,0.01,-0.01,"STX19",489
"RHO",0,0.01,-0.01,"RHO",490
