"","min_2","max_other","target_score","gene","rank"
"LSM11",0.12,0.22,-0.1,"LSM11",354
"CST1",0,0.1,-0.1,"CST1",355
"AKR7A3",0.01,0.11,-0.1,"AKR7A3",356
"CBLC",0,0.1,-0.1,"CBLC",357
"TINAG",0,0.1,-0.1,"TINAG",358
"GNGT1",0,0.1,-0.1,"GNGT1",359
"GPR20",0,0.1,-0.1,"GPR20",360
"PCDHB1",0.06,0.16,-0.1,"PCDHB1",361
"RAB23",0.04,0.14,-0.1,"RAB23",362
"RIPK4",0.01,0.11,-0.1,"RIPK4",363
"WNT4",0.01,0.11,-0.1,"WNT4",364
"UGT1A10",0.04,0.14,-0.1,"UGT1A10",365
"PPP2R2C",0.04,0.14,-0.1,"PPP2R2C",366
"BMP5",0,0.1,-0.1,"BMP5",367
"CSRNP3",0.01,0.11,-0.1,"CSRNP3",368
"RNF39",0,0.1,-0.1,"RNF39",369
"LHX4",0.04,0.14,-0.1,"LHX4",370
"HAP1",0.04,0.14,-0.1,"HAP1",371
"ONECUT2",0,0.1,-0.1,"ONECUT2",372
"ZNF74",0.41,0.51,-0.1,"ZNF74",373
"COPS6",4.45,4.56,-0.109999999999999,"COPS6",374
"CMAS",2.77,2.88,-0.11,"CMAS",375
"CHRM5",0.1,0.21,-0.11,"CHRM5",376
"SLC29A4",0.04,0.15,-0.11,"SLC29A4",377
"CA3",0.07,0.18,-0.11,"CA3",378
"ZNF436",0.61,0.72,-0.11,"ZNF436",379
"GAN",0.75,0.86,-0.11,"GAN",380
"LRRN2",0.02,0.13,-0.11,"LRRN2",381
"BTNL3",0,0.11,-0.11,"BTNL3",382
"SLC6A14",0.01,0.12,-0.11,"SLC6A14",383
"CLRN3",0,0.11,-0.11,"CLRN3",384
"NOXO1",0.05,0.16,-0.11,"NOXO1",385
"HSPB6",0,0.11,-0.11,"HSPB6",386
"SYT2",0.02,0.13,-0.11,"SYT2",387
"FAM162B",0,0.11,-0.11,"FAM162B",388
"ALPP",0.02,0.13,-0.11,"ALPP",389
"GLI3",0,0.11,-0.11,"GLI3",390
"GRIA3",0,0.11,-0.11,"GRIA3",391
"FOXA1",0,0.11,-0.11,"FOXA1",392
"PKHD1",0.02,0.13,-0.11,"PKHD1",393
"SERTAD4",0.01,0.12,-0.11,"SERTAD4",394
"FMN2",0.05,0.16,-0.11,"FMN2",395
"GXYLT2",0.08,0.19,-0.11,"GXYLT2",396
"RERGL",0,0.11,-0.11,"RERGL",397
"FZD7",0,0.11,-0.11,"FZD7",398
"PTCHD1",0.03,0.14,-0.11,"PTCHD1",399
"LYPD8",0.03,0.14,-0.11,"LYPD8",400
"B3GALT1",0.06,0.17,-0.11,"B3GALT1",401
"FANCG",1.71,1.82,-0.11,"FANCG",402
"DOHH",1.74,1.85,-0.11,"DOHH",403
"PGAM1",6.04,6.15,-0.11,"PGAM1",404
"LEFTY1",0,0.12,-0.12,"LEFTY1",405
"R3HDML",0.03,0.15,-0.12,"R3HDML",406
"CSPG4",0,0.12,-0.12,"CSPG4",407
"MANEAL",0.2,0.32,-0.12,"MANEAL",408
"PCDH11X",0.09,0.21,-0.12,"PCDH11X",409
"GOLGA6L1",0.1,0.22,-0.12,"GOLGA6L1",410
"CYP27C1",0.13,0.25,-0.12,"CYP27C1",411
"PKD1L3",0,0.12,-0.12,"PKD1L3",412
"DNAAF3",0,0.12,-0.12,"DNAAF3",413
"ROR2",0,0.12,-0.12,"ROR2",414
"COL5A3",0,0.12,-0.12,"COL5A3",415
"SFRP1",0,0.12,-0.12,"SFRP1",416
"BMP3",0,0.12,-0.12,"BMP3",417
"TRIM15",0,0.12,-0.12,"TRIM15",418
"TRIL",0,0.12,-0.12,"TRIL",419
"CRHR1",0.01,0.13,-0.12,"CRHR1",420
"GALR1",0.08,0.2,-0.12,"GALR1",421
"TOX3",0.01,0.13,-0.12,"TOX3",422
"GP2",0.08,0.2,-0.12,"GP2",423
"APOB",0.01,0.13,-0.12,"APOB",424
"PLCXD3",0.02,0.14,-0.12,"PLCXD3",425
"LAMC2",0.01,0.13,-0.12,"LAMC2",426
"SHROOM3",0.02,0.14,-0.12,"SHROOM3",427
"ITPRIPL1",1.5,1.63,-0.13,"ITPRIPL1",428
"NDUFB8",5.71,5.84,-0.13,"NDUFB8",429
"CEACAM7",0.01,0.14,-0.13,"CEACAM7",430
"UNC5D",0,0.13,-0.13,"UNC5D",431
"ADRA2A",0,0.13,-0.13,"ADRA2A",432
"LCTL",0.14,0.27,-0.13,"LCTL",433
"FOXF1",0,0.13,-0.13,"FOXF1",434
"SARM1",0.87,1,-0.13,"SARM1",435
"FAM26E",0.01,0.14,-0.13,"FAM26E",436
"MAMDC2",0,0.13,-0.13,"MAMDC2",437
"AMH",0,0.13,-0.13,"AMH",438
"GJB1",0,0.13,-0.13,"GJB1",439
"RIMKLA",0.01,0.14,-0.13,"RIMKLA",440
"ABCB5",0.04,0.17,-0.13,"ABCB5",441
"ARHGEF4",0.14,0.27,-0.13,"ARHGEF4",442
"PDE1A",0.03,0.16,-0.13,"PDE1A",443
"SIX4",0.02,0.15,-0.13,"SIX4",444
"ESRP1",0.06,0.19,-0.13,"ESRP1",445
"PIWIL2",0.07,0.2,-0.13,"PIWIL2",446
"PCDHA10",0.04,0.17,-0.13,"PCDHA10",447
"SUSD2",0.01,0.14,-0.13,"SUSD2",448
"PLEKHH1",0.12,0.25,-0.13,"PLEKHH1",449
"REG1B",0,0.13,-0.13,"REG1B",450
"SIM2",0.13,0.26,-0.13,"SIM2",451
"SLC2A4",0.04,0.17,-0.13,"SLC2A4",452
"HNF1A",0.01,0.14,-0.13,"HNF1A",453
"OR51E2",0.06,0.19,-0.13,"OR51E2",454
"CASR",0.08,0.21,-0.13,"CASR",455
"MYPN",0.04,0.17,-0.13,"MYPN",456
"TMEM187",1.43,1.56,-0.13,"TMEM187",457
"CDK6",2.87,3.01,-0.14,"CDK6",458
"UBE2L3",2.93,3.07,-0.14,"UBE2L3",459
"DAZAP2",6.61,6.75,-0.14,"DAZAP2",460
"NAPSA",0.34,0.48,-0.14,"NAPSA",461
"CKMT1B",0.01,0.15,-0.14,"CKMT1B",462
"FGFR3",0.01,0.15,-0.14,"FGFR3",463
"SOSTDC1",0.01,0.15,-0.14,"SOSTDC1",464
"GAS1",0.01,0.15,-0.14,"GAS1",465
"KCNT2",0.01,0.15,-0.14,"KCNT2",466
"MOCOS",0.04,0.18,-0.14,"MOCOS",467
"PSPN",0.07,0.21,-0.14,"PSPN",468
"CLSTN2",0.04,0.18,-0.14,"CLSTN2",469
"SPX",0.04,0.18,-0.14,"SPX",470
"LYPD6",0,0.14,-0.14,"LYPD6",471
"ALG10B",0.57,0.71,-0.14,"ALG10B",472
"RAET1L",0,0.14,-0.14,"RAET1L",473
"PLA2G4D",0.08,0.22,-0.14,"PLA2G4D",474
"ZNF843",0.05,0.19,-0.14,"ZNF843",475
"UNC93A",0,0.14,-0.14,"UNC93A",476
"ETAA1",0.87,1.01,-0.14,"ETAA1",477
"RGS4",0.02,0.16,-0.14,"RGS4",478
"PKNOX2",0.02,0.16,-0.14,"PKNOX2",479
"NECAB1",0.06,0.2,-0.14,"NECAB1",480
"THBS2",0,0.14,-0.14,"THBS2",481
"ZNF70",0.06,0.2,-0.14,"ZNF70",482
"LGR5",0,0.14,-0.14,"LGR5",483
"LAYN",3.67,3.81,-0.14,"LAYN",484
"SLU7",4.28,4.43,-0.149999999999999,"SLU7",485
"ECH1",5.15,5.3,-0.149999999999999,"ECH1",486
"HPRT1",4.32,4.47,-0.149999999999999,"HPRT1",487
"SUMO2",5.44,5.59,-0.149999999999999,"SUMO2",488
"WDR1",4.74,4.89,-0.149999999999999,"WDR1",489
"BAK1",3.17,3.32,-0.15,"BAK1",490
"KXD1",3.83,3.98,-0.15,"KXD1",491
"ANP32A",3.56,3.71,-0.15,"ANP32A",492
"IFI27L2",2.93,3.08,-0.15,"IFI27L2",493
