"","min_2","max_other","target_score","gene","rank"
"SH3KBP1",5.66,5.67,-0.00999999999999979,"SH3KBP1",404
"TPR",5.23,5.24,-0.00999999999999979,"TPR",405
"ZNF575",1.12,1.13,-0.00999999999999979,"ZNF575",406
"PRTG",0.17,0.18,-0.00999999999999998,"PRTG",407
"LIN28A",0.07,0.08,-0.01,"LIN28A",408
"NT5C1B.RDH14",0.11,0.12,-0.01,"NT5C1B.RDH14",409
"SLC29A4",0.05,0.06,-0.01,"SLC29A4",410
"CRISP3",0.02,0.03,-0.01,"CRISP3",411
"ALK",0,0.01,-0.01,"ALK",412
"ALOXE3",0,0.01,-0.01,"ALOXE3",413
"ASTN1",0,0.01,-0.01,"ASTN1",414
"CYP2C19",0,0.01,-0.01,"CYP2C19",415
"FABP6",0,0.01,-0.01,"FABP6",416
"IFNW1",0,0.01,-0.01,"IFNW1",417
"MAT1A",0,0.01,-0.01,"MAT1A",418
"SLC51B",0,0.01,-0.01,"SLC51B",419
"SMYD1",0,0.01,-0.01,"SMYD1",420
"STOML3",0,0.01,-0.01,"STOML3",421
"TFF2",0,0.01,-0.01,"TFF2",422
"VCX3A",0,0.01,-0.01,"VCX3A",423
"MAGEA6",0.03,0.04,-0.01,"MAGEA6",424
"NHEJ1",0.04,0.05,-0.01,"NHEJ1",425
"TRIM71",0.03,0.04,-0.01,"TRIM71",426
"MAPT",0.31,0.32,-0.01,"MAPT",427
"PPP1R32",0.38,0.39,-0.01,"PPP1R32",428
"ACYP1",2.13,2.14,-0.0100000000000002,"ACYP1",429
"VSTM4",0.34,0.36,-0.02,"VSTM4",430
"FOXD4L1",0.04,0.06,-0.02,"FOXD4L1",431
"MYOD1",0.01,0.03,-0.02,"MYOD1",432
"ADH1C",0,0.02,-0.02,"ADH1C",433
"AGT",0,0.02,-0.02,"AGT",434
"ANKRD33B",0,0.02,-0.02,"ANKRD33B",435
"C11orf53",0,0.02,-0.02,"C11orf53",436
"C12orf71",0,0.02,-0.02,"C12orf71",437
"C5orf58",0,0.02,-0.02,"C5orf58",438
"C7orf33",0,0.02,-0.02,"C7orf33",439
"CACNA2D1",0,0.02,-0.02,"CACNA2D1",440
"CCDC60",0,0.02,-0.02,"CCDC60",441
"CYP26A1",0,0.02,-0.02,"CYP26A1",442
"EDDM3A",0,0.02,-0.02,"EDDM3A",443
"ESRP2",0,0.02,-0.02,"ESRP2",444
"FIBIN",0,0.02,-0.02,"FIBIN",445
"GAL3ST3",0,0.02,-0.02,"GAL3ST3",446
"GCKR",0,0.02,-0.02,"GCKR",447
"GLRB",0,0.02,-0.02,"GLRB",448
"GTF2A1L",0,0.02,-0.02,"GTF2A1L",449
"KLHL30",0,0.02,-0.02,"KLHL30",450
"KRT71",0,0.02,-0.02,"KRT71",451
"LYPD2",0,0.02,-0.02,"LYPD2",452
"NOX3",0,0.02,-0.02,"NOX3",453
"OR10S1",0,0.02,-0.02,"OR10S1",454
"OR2A2",0,0.02,-0.02,"OR2A2",455
"OR2M3",0,0.02,-0.02,"OR2M3",456
"PADI3",0,0.02,-0.02,"PADI3",457
"PATE4",0,0.02,-0.02,"PATE4",458
"PRSS3",0,0.02,-0.02,"PRSS3",459
"RFPL1",0,0.02,-0.02,"RFPL1",460
"SIX4",0,0.02,-0.02,"SIX4",461
"SLC32A1",0,0.02,-0.02,"SLC32A1",462
"SMIM9",0,0.02,-0.02,"SMIM9",463
"SYT14",0.02,0.04,-0.02,"SYT14",464
"SYT3",0,0.02,-0.02,"SYT3",465
"TAS2R20",0,0.02,-0.02,"TAS2R20",466
"TAS2R60",0,0.02,-0.02,"TAS2R60",467
"TINAG",0,0.02,-0.02,"TINAG",468
"TMEM59L",0,0.02,-0.02,"TMEM59L",469
"TRIM49B",0,0.02,-0.02,"TRIM49B",470
"TSLP",0,0.02,-0.02,"TSLP",471
"VCX3B",0,0.02,-0.02,"VCX3B",472
"C11orf52",0.05,0.07,-0.02,"C11orf52",473
"SEC14L4",0.09,0.11,-0.02,"SEC14L4",474
"TCERG1L",0.06,0.08,-0.02,"TCERG1L",475
"CASC3",3.3,3.32,-0.02,"CASC3",476
"FBXO45",2.11,2.13,-0.02,"FBXO45",477
"JOSD2",1.81,1.83,-0.02,"JOSD2",478
"KIAA1143",3.12,3.14,-0.02,"KIAA1143",479
"MASTL",1.57,1.59,-0.02,"MASTL",480
"TNIP3",3.62,3.65,-0.0299999999999998,"TNIP3",481
"ALX1",0,0.03,-0.03,"ALX1",482
"ANKRD2",0,0.03,-0.03,"ANKRD2",483
"AP000275.65",0.01,0.04,-0.03,"AP000275.65",484
"APLN",0,0.03,-0.03,"APLN",485
"APOBEC4",0,0.03,-0.03,"APOBEC4",486
"ASB16",0,0.03,-0.03,"ASB16",487
"BDNF",0,0.03,-0.03,"BDNF",488
"C2CD4C",0.03,0.06,-0.03,"C2CD4C",489
"C2orf91",0,0.03,-0.03,"C2orf91",490
"C9orf84",0,0.03,-0.03,"C9orf84",491
"CARD18",0,0.03,-0.03,"CARD18",492
"CCDC116",0.01,0.04,-0.03,"CCDC116",493
"CCDC169",0,0.03,-0.03,"CCDC169",494
"CD300LD",0,0.03,-0.03,"CD300LD",495
"CDRT1",0,0.03,-0.03,"CDRT1",496
"CHRNA9",0,0.03,-0.03,"CHRNA9",497
"CNN1",0,0.03,-0.03,"CNN1",498
"CPO",0,0.03,-0.03,"CPO",499
"CRP",0.03,0.06,-0.03,"CRP",500
"CSN1S1",0,0.03,-0.03,"CSN1S1",501
"CXorf49",0,0.03,-0.03,"CXorf49",502
"CYP2C18",0,0.03,-0.03,"CYP2C18",503
"FAT2",0,0.03,-0.03,"FAT2",504
"FATE1",0,0.03,-0.03,"FATE1",505
"FOXD4",0,0.03,-0.03,"FOXD4",506
"FUT9",0,0.03,-0.03,"FUT9",507
"GPR158",0,0.03,-0.03,"GPR158",508
"GRIA2",0,0.03,-0.03,"GRIA2",509
"HAND2",0.03,0.06,-0.03,"HAND2",510
"HES5",0,0.03,-0.03,"HES5",511
"HYAL4",0,0.03,-0.03,"HYAL4",512
"IHH",0,0.03,-0.03,"IHH",513
"IL13",0,0.03,-0.03,"IL13",514
"IL25",0,0.03,-0.03,"IL25",515
"IVL",0,0.03,-0.03,"IVL",516
"JPH3",0,0.03,-0.03,"JPH3",517
"NEUROG3",0,0.03,-0.03,"NEUROG3",518
"NTM",0,0.03,-0.03,"NTM",519
"OCLM",0,0.03,-0.03,"OCLM",520
"OCSTAMP",0,0.03,-0.03,"OCSTAMP",521
"OR7A5",0,0.03,-0.03,"OR7A5",522
"OTOS",0,0.03,-0.03,"OTOS",523
"PCDHGB6",0,0.03,-0.03,"PCDHGB6",524
"POU4F2",0,0.03,-0.03,"POU4F2",525
"PRKACG",0,0.03,-0.03,"PRKACG",526
"PSG5",0,0.03,-0.03,"PSG5",527
"RAX2",0,0.03,-0.03,"RAX2",528
"RESP18",0,0.03,-0.03,"RESP18",529
"RLN3",0,0.03,-0.03,"RLN3",530
"S100G",0,0.03,-0.03,"S100G",531
"SCGB1D1",0,0.03,-0.03,"SCGB1D1",532
"SELE",0,0.03,-0.03,"SELE",533
